ID,Symbol,Category
usual-usd,USD0,Stablecoins
eutbl,EUTBL,RWA & Tokenization
kinetic-staked-hype,KHYPE,Liquid Staking & Restaking
c8ntinuum,CTM,Other
arbitrum-bridged-weth-arbitrum-one,WETH,Wrapped & Bridged Assets
tbtc,TBTC,Wrapped & Bridged Assets
gteth,GTETH,Liquid Staking & Restaking
injective-protocol,INJ,"DeFi (DEX, Lending, Perps)"
lido-dao,LDO,"DeFi (DEX, Lending, Perps)"
ether-fi,ETHFI,"DeFi (DEX, Lending, Perps)"
spx6900,SPX,Memecoins
first-digital-usd,FDUSD,Stablecoins
lighter,LIT,Other
aerodrome-finance,AERO,"DeFi (DEX, Lending, Perps)"
a7a5,A7A5,Other
gho,GHO,Stablecoins
true-usd,TUSD,Stablecoins
celestia,TIA,"Oracles, Data & AI"
msol,MSOL,Liquid Staking & Restaking
river,RIVER,Other
ether-fi-liquid-eth,LIQUIDETH,Liquid Staking & Restaking
floki,FLOKI,Memecoins
fasttoken,FTN,Other
stader-ethx,ETHX,Liquid Staking & Restaking
janus-henderson-anemoy-treasury-fund,JTRSY,RWA & Tokenization
coinbase-wrapped-staked-eth,CBETH,Liquid Staking & Restaking
the-graph,GRT,"Oracles, Data & AI"
wrapped-apecoin,WAPE,Wrapped & Bridged Assets
doublezero,2Z,Other
steakhouse-usdc-morpho-vault,STEAKUSDC,Yield & Vaults
starknet,STRK,Layer 2s & Scaling
staked-aave,STKAAVE,Yield & Vaults
sbtc-2,SBTC,Wrapped & Bridged Assets
the-sandbox,SAND,Consumer & Gaming
newton-project,AB,Other
syrup,SYRUP,Yield & Vaults
bittorrent,BTT,"Oracles, Data & AI"
jasmycoin,JASMY,"Oracles, Data & AI"
cap-usd,CUSD,Stablecoins
usdb,USDB,Stablecoins
sun-token,SUN,Other
conflux-token,CFX,Layer 1s
iota,IOTA,Layer 1s
ethereum-name-service,ENS,Consumer & Gaming
trust-wallet-token,TWT,Consumer & Gaming
bitcoin-cash-sv,BSV,Layer 1s
gnosis,GNO,"DeFi (DEX, Lending, Perps)"
decred,DCR,Layer 1s
pyth-network,PYTH,"Oracles, Data & AI"
dogwifcoin,WIF,Memecoins
ether-fi-staked-eth,EETH,Liquid Staking & Restaking
crvusd,CRVUSD,Stablecoins
resolv-usr,USR,Stablecoins
wrapped-stx-velar,WSTX,Wrapped & Bridged Assets
bitcoin-avalanche-bridged-btc-b,BTC.B,Wrapped & Bridged Assets
