id,symbol,name,first_day,last_day,expected_days,have_any,missing_any,have_price,missing_price,have_volume,missing_volume,have_mcap,missing_mcap,updated_at
binance-bridged-usdc-bnb-smart-chain,USDC,Binance Bridged USDC (BNB Smart Chain),2024-02-14,2025-09-25,590,590,0,590,0,590,0,590,0,2025-09-25T11:44:27.907202+00:00
pi-network,PI,Pi Network,2025-02-20,2025-09-25,218,218,0,218,0,218,0,218,0,2025-09-25T11:44:27.907202+00:00
leo-token,LEO,LEO Token,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,2025-02-12,2025-09-25,226,226,0,226,0,226,0,226,0,2025-09-25T11:44:27.907202+00:00
sui,SUI,Sui,2023-05-03,2025-09-25,877,877,0,877,0,877,0,877,0,2025-09-25T11:44:27.907202+00:00
ousg,OUSG,OUSG,2023-03-22,2025-09-25,919,919,0,919,0,919,0,919,0,2025-09-25T11:44:27.907202+00:00
optimism,OP,Optimism,2022-05-31,2025-09-25,1214,1214,0,1214,0,1214,0,1214,0,2025-09-25T11:44:27.907202+00:00
story-2,IP,Story,2025-02-13,2025-09-25,225,225,0,225,0,225,0,225,0,2025-09-25T11:44:27.907202+00:00
usdt0,USDT0,USDT0,2025-01-23,2025-09-25,246,246,0,246,0,246,0,246,0,2025-09-25T11:44:27.907202+00:00
virtual-protocol,VIRTUAL,Virtuals Protocol,2023-12-28,2025-09-25,638,638,0,638,0,638,0,638,0,2025-09-25T11:44:27.907202+00:00
worldcoin-wld,WLD,Worldcoin,2023-07-24,2025-09-25,795,795,0,795,0,795,0,795,0,2025-09-25T11:44:27.907202+00:00
keeta,KTA,Keeta,2025-03-06,2025-09-25,204,204,0,204,0,204,0,204,0,2025-09-25T11:44:27.907202+00:00
vision-3,VSN,Vision,2025-07-16,2025-09-25,72,72,0,72,0,72,0,72,0,2025-09-25T11:44:27.907202+00:00
polygon-pos-bridged-weth-polygon-pos,WETH,Polygon PoS Bridged WETH (Polygon POS),2024-08-15,2025-09-25,407,407,0,407,0,407,0,407,0,2025-09-25T11:44:27.907202+00:00
gala,GALA,GALA,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
flare-networks,FLR,Flare,2023-01-10,2025-09-25,990,990,0,990,0,990,0,990,0,2025-09-25T11:44:27.907202+00:00
cgeth-hashkey-cloud,CGETH.HASHKEY,cgETH Hashkey Cloud,2025-02-02,2025-09-25,236,236,0,236,0,236,0,236,0,2025-09-25T11:44:27.907202+00:00
starknet,STRK,Starknet,2024-02-20,2025-09-25,584,584,0,584,0,584,0,584,0,2025-09-25T11:44:27.907202+00:00
paypal-usd,PYUSD,PayPal USD,2023-08-16,2025-09-25,772,772,0,772,0,772,0,772,0,2025-09-25T11:44:27.907202+00:00
kelp-dao-restaked-eth,RSETH,Kelp DAO Restaked ETH,2024-01-12,2025-09-25,623,623,0,623,0,623,0,623,0,2025-09-25T11:44:27.907202+00:00
pyth-network,PYTH,Pyth Network,2023-11-20,2025-09-25,676,676,0,676,0,676,0,676,0,2025-09-25T11:44:27.907202+00:00
steakhouse-usdc-morpho-vault,STEAKUSDC,Steakhouse USDC Morpho Vault,2024-12-09,2025-09-25,291,291,0,291,0,291,0,291,0,2025-09-25T11:44:27.907202+00:00
wbnb,WBNB,Wrapped BNB,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
polygon-ecosystem-token,POL,POL (ex-MATIC),2023-10-25,2025-09-25,702,702,0,702,0,702,0,702,0,2025-09-25T11:44:27.907202+00:00
sonic-3,S,Sonic,2025-01-04,2025-09-25,265,265,0,265,0,265,0,265,0,2025-09-25T11:44:27.907202+00:00
coinbase-wrapped-btc,CBBTC,Coinbase Wrapped BTC,2024-09-12,2025-09-25,379,379,0,379,0,379,0,379,0,2025-09-25T11:44:27.907202+00:00
injective-protocol,INJ,Injective,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
ethereum-name-service,ENS,Ethereum Name Service,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
msol,MSOL,Marinade Staked SOL,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
arbitrum-bridged-weth-arbitrum-one,WETH,Arbitrum Bridged WETH (Arbitrum One),2024-08-15,2025-09-25,407,407,0,407,0,407,0,407,0,2025-09-25T11:44:27.907202+00:00
hyperliquid,HYPE,Hyperliquid,2024-11-29,2025-09-25,301,301,0,301,0,301,0,301,0,2025-09-25T11:44:27.907202+00:00
usd1-wlfi,USD1,USD1,2025-04-11,2025-09-25,168,168,0,168,0,168,0,168,0,2025-09-25T11:44:27.907202+00:00
dexe,DEXE,DeXe,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),2024-02-05,2025-09-25,599,599,0,599,0,599,0,599,0,2025-09-25T11:44:27.907202+00:00
binance-staked-sol,BNSOL,Binance Staked SOL,2024-09-12,2025-09-25,379,379,0,379,0,379,0,379,0,2025-09-25T11:44:27.907202+00:00
ethena,ENA,Ethena,2024-04-02,2025-09-25,542,542,0,542,0,542,0,542,0,2025-09-25T11:44:27.907202+00:00
ethereum-classic,ETC,Ethereum Classic,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
mantle,MNT,Mantle,2023-07-17,2025-09-25,802,802,0,802,0,802,0,802,0,2025-09-25T11:44:27.907202+00:00
conflux-token,CFX,Conflux,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
toshi,TOSHI,Toshi,2024-09-26,2025-09-25,365,365,0,365,0,365,0,365,0,2025-09-25T11:44:27.907202+00:00
usual-usd,USD0,Usual USD,2024-07-10,2025-09-25,443,443,0,443,0,443,0,443,0,2025-09-25T11:44:27.907202+00:00
pax-gold,PAXG,PAX Gold,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
avalanche-2,AVAX,Avalanche,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
bitcoin-avalanche-bridged-btc-b,BTC.B,Avalanche Bridged BTC (Avalanche),2022-06-22,2025-09-25,1192,1192,0,1192,0,1192,0,1192,0,2025-09-25T11:44:27.907202+00:00
shiba-inu,SHIB,Shiba Inu,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
dydx-chain,DYDX,dYdX,2023-11-27,2025-09-25,669,669,0,669,0,669,0,669,0,2025-09-25T11:44:27.907202+00:00
blockstack,STX,Stacks,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
super-oeth,SUPEROETH,Super OETH,2024-08-29,2025-09-25,393,393,0,393,0,393,0,393,0,2025-09-25T11:44:27.907202+00:00
usd-coin,USDC,USDC,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
