id,symbol,name,first_day,last_day,expected_days,have_any,missing_any,have_price,missing_price,have_volume,missing_volume,have_mcap,missing_mcap,updated_at
theta-token,THETA,Theta Network,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
polygon-pos-bridged-dai-polygon-pos,DAI,Polygon PoS Bridged DAI (Polygon POS),2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
helium,HNT,Helium,2024-09-26,2025-09-25,365,365,0,365,0,365,0,365,0,2025-09-25T11:44:27.907202+00:00
ethena-staked-usde,SUSDE,Ethena Staked USDe,2024-03-20,2025-09-25,555,555,0,555,0,555,0,555,0,2025-09-25T11:44:27.907202+00:00
litecoin,LTC,Litecoin,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
bitcoin-cash,BCH,Bitcoin Cash,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
ondo-finance,ONDO,Ondo,2024-01-18,2025-09-25,617,617,0,617,0,617,0,617,0,2025-09-25T11:44:27.907202+00:00
wrapped-bitcoin,WBTC,Wrapped Bitcoin,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
mantle-bridged-usdt-mantle,USDT,Mantle Bridged USDT (Mantle),2024-02-07,2025-09-25,597,597,0,597,0,597,0,597,0,2025-09-25T11:44:27.907202+00:00
solana,SOL,Solana,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
decentraland,MANA,Decentraland,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
bitcoin-cash-sv,BSV,Bitcoin SV,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
avantis,AVNT,Avantis,2025-09-09,2025-09-25,17,17,0,17,0,17,0,17,0,2025-09-25T11:44:27.907202+00:00
coinbase-wrapped-staked-eth,CBETH,Coinbase Wrapped Staked ETH,2022-08-25,2025-09-25,1128,1128,0,1128,0,1128,0,1128,0,2025-09-25T11:44:27.907202+00:00
bonk,BONK,Bonk,2022-12-29,2025-09-25,1002,1002,0,1002,0,1002,0,1002,0,2025-09-25T11:44:27.907202+00:00
telcoin,TEL,Telcoin,2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
syrup,SYRUP,Maple Finance,2024-11-13,2025-09-25,317,317,0,317,0,317,0,317,0,2025-09-25T11:44:27.907202+00:00
zksync,ZK,ZKsync,2024-09-26,2025-09-25,365,365,0,365,0,365,0,365,0,2025-09-25T11:44:27.907202+00:00
pancakeswap-token,CAKE,PancakeSwap,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
mantle-restaked-eth,CMETH,Mantle Restaked ETH,2024-10-28,2025-09-25,333,333,0,333,0,333,0,333,0,2025-09-25T11:44:27.907202+00:00
uniswap,UNI,Uniswap,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
l2-standard-bridged-weth-base,WETH,L2 Standard Bridged WETH (Base),2024-08-20,2025-09-25,402,402,0,402,0,402,0,402,0,2025-09-25T11:44:27.907202+00:00
true-usd,TUSD,TrueUSD,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
pendle,PENDLE,Pendle,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
walrus-2,WAL,Walrus,2025-03-27,2025-09-25,183,183,0,183,0,183,0,183,0,2025-09-25T11:44:27.907202+00:00
tbtc,TBTC,tBTC,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
