ID,Symbol,Category
apecoin,APE,Decentralized Finance
thorchain,RUNE,Decentralized Finance
coredaoorg,CORE,Decentralized Finance
keeta,KTA,Decentralized Finance
aethir,ATH,Decentralized Finance
instadapp,FLUID,Decentralized Finance
saros-finance,SAROS,Decentralized Finance
ether-fi-staked-eth,EETH,Staked or Wrapped
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,Stablecoins
ousg,OUSG,Tokenization
usdt0,USDT0,Stablecoins
cgeth-hashkey-cloud,CGETH.HASHKEY,Decentralized Finance
paypal-usd,PYUSD,Stablecoins
arbitrum-bridged-weth-arbitrum-one,WETH,Decentralized Finance
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Stablecoins
usd-coin,USDC,Stablecoins
stakewise-v3-oseth,OSETH,Staked or Wrapped
binance-peg-weth,WETH,Decentralized Finance
myx-finance,MYX,Decentralized Finance
global-dollar,USDG,Decentralized Finance
binance-peg-dogecoin,DOGE,Memecoins
usdx-money-usdx,USDX,Stablecoins
figure-heloc,FIGR_HELOC,Decentralized Finance
weth,WETH,Decentralized Finance
wrapped-beacon-eth,WBETH,Staked or Wrapped
polygon-pos-bridged-dai-polygon-pos,DAI,Stablecoins
wrapped-bitcoin,WBTC,Staked or Wrapped
zksync,ZK,Layer 2s & Scaling
mantle-restaked-eth,CMETH,Staked or Wrapped
l2-standard-bridged-weth-base,WETH,Decentralized Finance
ripple-usd,RLUSD,Stablecoins
solv-protocol-solvbtc-bbn,XSOLVBTC,Decentralized Finance
kinetic-staked-hype,KHYPE,Staked or Wrapped
clbtc,CLBTC,Decentralized Finance
hash-2,HASH,Decentralized Finance
tether,USDT,Stablecoins
ondo-us-dollar-yield,USDY,Decentralized Finance
syrupusdc,SYRUPUSDC,Stablecoins
loaded-lions,LION,Decentralized Finance
polygon-bridged-usdt-polygon,USDT,Stablecoins
superstate-short-duration-us-government-securities-fund-ustb,USTB,Decentralized Finance
benqi-liquid-staked-avax,SAVAX,Staked or Wrapped
bybit-staked-sol,BBSOL,Staked or Wrapped
eigenlayer,EIGEN,Decentralized Finance
